Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1,1659,1961,530,66490
2,1461,1752,210,39820
3,1340,1609,720,54010
4,1451,1748,620,53730
5,1770,2111,450,46620
6,1442,1733,760,45260
7,1542,1858,1030,72240
8,1261,1507,1020,37720
9,1090,1321,680,46310
10,1030,1235,1130,44150
11,1187,1439,1090,71280
12,1751,2098,720,57620
13,1746,2064,1050,60470
14,1615,1931,1160,59130
15,1469,1756,770,66360
16,1644,1950,790,78870
17,1578,1907,1440,77250
18,1703,2045,670,38170
19,1438,1731,1030,63540
20,1940,2340,980,40190
21,1421,1700,370,43460
22,1458,1746,690,68890
23,1719,2065,950,52780
24,1449,1752,620,50680
25,1234,1488,840,41880
26,1732,2073,820,70050
27,1475,1777,1100,25820
28,1390,1648,980,60530
29,1642,1943,710,78100
30,1715,2071,650,84860
31,1439,1746,990,80140
32,1250,1508,990,14920
33,1331,1608,880,60460
34,1784,2163,620,74560
35,1375,1648,1020,72430
36,1871,2230,700,45460
37,1442,1744,610,41570
38,1174,1411,1080,62870
39,1839,2204,1010,55170
40,1270,1516,10,45480
41,1435,1725,1250,49550
42,965,1152,600,48140
43,1665,2001,730,67640
44,1780,2117,780,39730
45,1009,1194,520,35800
46,1227,1471,870,49270
47,1769,2087,690,66510
48,1660,1982,910,62530
49,1472,1776,1260,59980
50,1408,1688,1040,76350
51,1514,1820,910,81820
52,1565,1880,1300,57830
53,1074,1288,320,70450
54,1864,2240,530,67000
55,1570,1898,980,64090
56,1417,1701,740,48670
57,1734,2060,1240,66210
58,1470,1763,1080,83660
59,1761,2104,1080,70770
60,1756,2070,460,53870
61,1704,2045,300,71300
62,2011,2391,530,46100
63,1472,1748,600,49100
64,1310,1561,860,65920
65,1544,1821,590,58660
66,1707,2052,920,69130
67,1881,2262,570,49080
68,1416,1681,290,72710
69,1631,1941,650,33430
70,1318,1576,710,42430
71,1692,2019,850,56650
72,1152,1380,530,33580
73,891,1073,630,67370
74,1468,1749,700,71780
75,1539,1833,650,84840
76,1635,1956,720,82070
77,1267,1520,450,26770
78,1250,1475,1390,65560
79,1720,2044,960,38660
80,1462,1761,600,65660
81,1431,1711,620,40700
82,1539,1858,1020,88910
83,1441,1723,330,57860
84,1572,1884,1410,42670
85,1287,1525,1200,90180
86,1468,1760,280,51280
87,1931,2342,940,97260
88,1252,1506,850,39650
89,1238,1468,960,45720
90,1479,1758,420,42060
91,1590,1912,830,65350
92,2169,2617,600,67080
93,1838,2205,400,54030
94,1385,1655,760,56360
95,1921,2305,1470,77120
96,1975,2385,500,50810
97,1853,2235,1120,60960
98,1816,2171,1160,61180
99,1785,2147,820,63660
100,1579,1899,1140,41190
101,1096,1321,900,78420
102,1919,2294,760,65580
103,1262,1500,1170,89080
104,1374,1655,1080,94170
105,1309,1587,1000,50950
106,1207,1434,690,65180
107,1692,2031,810,69310
108,1929,2311,630,79210
109,1573,1878,650,23740
110,1415,1700,920,36330
111,1162,1382,1260,51700
112,1485,1787,800,62950
113,1897,2248,1330,56010
114,1607,1927,940,45080
115,1909,2287,1210,46830
116,1274,1503,660,64750
117,1157,1379,770,80780
118,1712,2046,460,31180
119,1500,1798,860,56710
120,1682,2017,780,49390
121,1441,1727,890,66000
122,1525,1835,900,32770
123,1408,1669,530,46580
124,1947,2333,790,79780
125,1164,1390,370,35510
126,1787,2137,610,80970
